2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/io/SessionInputBuffer (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/io/BufferInfo (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - sun/management/spi/PlatformMBeanProvider (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/config/MessageConstraints (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/config/MessageConstraints$Builder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - jdk/management/jfr/internal/FlightRecorderMXBeanProvider (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/util/ByteArrayBuffer (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/io/SessionOutputBufferImpl (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/io/SessionOutputBuffer (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - com/sun/management/internal/PlatformMBeanProviderImpl (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/HttpConnectionMetricsImpl (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/HttpConnectionMetrics (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/io/DefaultHttpRequestWriter (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/io/AbstractMessageWriter (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/io/HttpMessageWriter (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/util/CharArrayBuffer (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/conn/DefaultHttpResponseParser (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/io/AbstractMessageParser (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/io/HttpMessageParser (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/conn/Wire (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - com/sun/management/internal/PlatformMBeanProviderImpl$1 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/conn/CPoolEntry (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/pool/PoolEntry (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/conn/CPoolProxy (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - sun/management/spi/PlatformMBeanProvider$PlatformComponent (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/impl/execchain/ConnectionHolder (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/conn/ConnectionReleaseTrigger (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - com/sun/management/internal/PlatformMBeanProviderImpl$2 (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-shutdown-hook | ignored class : org/nudge/dependency/oah/conn/routing/RouteTracker (BootstrapClassLoader)
2023-01-03T09:18Z FINE nudge-collector | checking instrumentability for - com/sun/management/internal/PlatformMBeanProviderImpl$3 (BootstrapClassLoader)
